,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
MSM,0.015253373035635787,0.014403982734106369,0.022710767174825897,0.04306578647728332,0.046167005930685345,0.0452656587734791,0.0,0.0,0.0,0.0,0.0066101806672821065,-0.002145676596606072,0.0036217517524605447,0.0004433497536945441,0.04174370417596427,0.00044976178624757114,0.04943315308595934,0.04481161091887731
MSMW,0.0025536202707474587,0.001822201386560418,0.0030797916827961513,0.00565644808740462,0.004937689333364803,0.00503227250749827,0.0,0.0,0.0,0.0,-0.0018264539100619759,0.0,0.00043723005027266335,0.00010028149190706159,0.00025324974320828364,0.00017066059873422913,0.000484803281745283,0.001139946174548223
MSW,0.008366737879417774,0.018141696558261255,0.018991464093010335,0.009284950865829922,0.014976458506429036,0.017223630901727738,0.0,0.00581890053934545,0.0,0.0,-0.0006593696426216433,0.022377787524037594,0.00018055653897904866,0.003219563687543936,0.002629901179470795,0.003029225627533205,0.003095282491142981,0.0033314109957708225
Oth/Unk/Missing,0.0011449099930641582,0.0001377491592137181,0.00023077527506643047,5.789360156671641e-05,0.0007069085354241,0.00023446236113311425,0.0,0.0,0.0,0.0048142081767672314,0.0,0.005883742113963741,0.03190186221057854,0.008084095707248362,0.0002939822193886332,0.013773732489511447,0.012847286966250215,0.008552479815455571
Northeast,0.0006948033699678557,0.00020837408709506455,0.00042526097927175766,0.0002898965403238529,0.00017815941710686012,0.0010497101268681641,0.0,-3.3499715252349738e-06,-0.013508812235386792,-0.0028069499309502865,0.0,0.003906750784386459,0.0,0.0,0.0228261254560266,0.0005190926544833774,0.0007682267387655983,0.001070742022299087
Southeast,0.00039328169832730797,0.0015251497963839622,0.0004378384114763767,0.0008284670709237663,0.0015079927802770232,0.0031892141859496403,0.0,0.00015744866168639903,-0.00014112704716268132,0.0,0.0,0.001548530751324162,0.012127380868087567,0.06050140745953551,0.00025502072043350756,0.00043731778425650793,0.014928211821741543,0.05918685121107262
Southwest,0.0006977482088572629,0.0007803092845282134,0.0006856855231033299,0.0012853389569874585,0.001317809763370148,0.0013905595709572394,0.0,0.0020903822317510532,0.0027569004562013944,-0.0014259562578282647,0.0,0.007307445767686616,0.0,0.0,0.004792264371480159,0.00038931949086250527,0.000874510535148243,0.020607458669742385
West,0.005829146581704081,0.008669580550315525,0.003139992237558231,0.0019286787285557327,0.002372628748947836,0.0033443004871545057,-0.00014769019405802553,-0.0009647917992696708,-0.013288916603761202,0.0,0.00037584069629436055,0.005040315778819859,8.850810734306602e-06,0.002030260380014026,0.0007650621613005781,0.001978596316575376,0.0016725713220212435,0.002014609765474784
Midwest,0.0013741956879798067,0.001069053916793683,0.0013606246211644857,0.0001999243113022242,0.0005096821409001917,0.001069832219323552,0.0,0.0,0.0,0.0,0.0,0.0,0.0505027260497062,0.007362772695284958,0.005137604930400575,0.0004124297802744481,0.060622785754242,0.0014859669357939031
PREV_REGION,0.0002698052742423629,0.0057055912345282955,0.017369784519587372,0.018442998598018567,0.013891487689787096,0.012942774353636999,0.0,0.0,0.0,0.0,0.0,0.002921628824938405,0.00047794377965026946,8.44475721322624e-05,0.0001824106541989723,0.0004515395008177103,0.0004829386537385849,0.0009765474817377661
PREV_CLINIC,0.07302205631310077,0.10534383897216815,0.06038188092569874,0.08731748794972938,0.0970782520365836,0.10626771399696766,0.0,0.0,-0.0027765926023171185,-0.004130134566592747,0.015129236449953865,0.0023919570864680438,0.03918961976917089,0.02505277973258264,0.024965465944107923,0.019446419682855653,0.02732425881036732,0.02754709727028063
DELTA_REGION,0.04502205687461913,0.012230315128308189,0.006579025141903672,0.0035943668157909503,0.0006927946608568103,0.0010738587072280925,0.0,0.0,0.0,0.0,0.0,0.0,-5.48750265524256e-05,0.0002638986629133866,0.00014344915524384662,0.000319988622626699,0.001359313816893526,0.0010476739715493566
DELTA_CLINIC,0.06033252932734923,0.06783312083599735,0.05874751853836402,0.03802823031974378,0.035699011420333604,0.04218375847221667,0.0,0.0,0.0,0.0,7.58275089014826e-05,-0.0012010391012449273,0.03074063584224319,0.04006157635467975,0.00048524775971380273,0.05142750479982931,0.0011952265523027862,0.0013533256439830499
Count_Exceeds_75,0.0014939927868633518,0.00021987345740326347,3.9016322528340197e-07,0.0008073836516973021,0.0008299413015937507,0.001256805230177016,-0.0005426755967714025,0.0,0.0003577406544356565,0.0011722388155570918,-0.006897006461822485,0.043075469788468636,0.005367131629257271,0.025427515833919723,0.00017532674529801006,0.022969849960890253,0.002878985642364329,0.0030046136101499086
Trend_N_greater_75,0.0003224175565312848,0.0002173898509389982,7.700642796659718e-05,0.00012045049620734716,0.00013131807017852104,2.7343607381213886e-05,-0.00144255538382273,0.0,0.006029078735764204,0.0,0.0,0.0,0.01680060893577858,0.0002322308233637771,0.05854496511174863,0.05492604707388178,0.0,0.00019992310649744605
