,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
MSM,-0.022497982894949198,0.0,0.06871359627225826,0.0,0.0,0.07625241694498154,0.03034371470066158,0.0033508541392903855,0.0075137294058911916,0.006236239734405074,0.0,0.056999472666549506,-0.0029514281103759886,0.0005009855453350854,0.05400066566816446,0.051320985497116854,0.0005654338549075899,0.013304622956582888
MSMW,0.11547522994997576,0.11362023653088045,0.005486769845232128,0.0,-0.002903627311522069,0.14529970117771138,0.0,0.0,0.0,0.0,0.0,0.026444014765336643,0.0,0.0,0.011707438841737434,0.0007653328673771964,0.0,0.0
MSW,0.11980958528320153,0.0,0.013301714095523356,0.0,0.003191678520625865,0.13186324485849885,0.007479425528481497,0.04576379763469119,0.0,0.0004840118818801831,0.0,0.0042362453858323405,-5.163788930126922e-05,0.018217805519053876,0.004779497420535903,0.02307705748733177,0.007876955903271744,0.0033608718579715337
Oth/Unk/Missing,0.0,0.0,0.10768014644699615,0.0,0.0,0.03406574090349798,0.0,-2.2996057818662762e-05,0.06736561823930773,0.0,0.0,0.0,0.0,-0.012626478318002628,-0.0004226992844066868,-0.013568058710466591,-0.003525960170696967,-0.03836526630339251
Northeast,0.040180732612554435,0.0,0.022532867365618225,-0.021871396120915564,0.027665362731152186,0.07403761645280366,0.0,0.0,-0.00036278914960889865,0.0076638126856544185,0.0,0.002963613991914251,0.0,0.0052841655716163,-0.002800798801797263,0.0,0.004811522048364205,0.0
Southeast,0.002698079715991586,0.017358738501971137,0.0031303045431852004,0.0,0.0,0.004032343118298473,0.0,0.0,0.0,0.0,0.00017603129445230127,0.01719985937774656,0.0,0.0028203022339027607,0.0011382925611583127,0.0,-0.005069345661450873,0.0012251713833714094
Southwest,0.0,0.0065538764783180424,0.0,0.0332727590424603,0.0,0.010789242397609427,0.0,-0.00019546649145863015,0.0,0.0,0.0,0.0,0.0,0.0,0.01696455317024468,0.002911060632535327,0.0,0.0
West,0.0067113119251250375,0.0006192509855453832,0.0017640206357130838,-0.006531539402411284,0.0,0.09778871506415891,0.0,0.0,0.0,0.012738074436484403,-0.016020625889046992,0.00040428897873091894,-0.00020009682104243253,0.002240473061760817,0.0,0.0,0.0010348506401138503,0.0
Midwest,0.022470550266257834,-0.0007342312746385893,0.11195706440339488,0.0,0.0,0.0,0.0,0.0,0.0015310367781661083,0.0,2.489331436697384e-05,0.022153278256284086,0.0,0.007767739816031529,0.0,0.0,0.0,0.0
PREV_REGION,0.011005325157334163,-0.003060118265440164,0.009053087036112479,-0.006040538179276558,0.0,-0.01170680260151169,0.002761013393577502,0.010486202365308782,0.0,0.0,0.0,0.0042169098259799975,0.0,0.04561268068331145,0.0,0.0,0.0,0.0
PREV_CLINIC,-0.0017847345489753453,0.0,0.048255949409219484,0.0,-0.002030583214793766,0.10652311478291439,0.0,0.0,0.003712764187052774,0.02348942862135249,-0.007114153627311571,0.0,0.03669678876875908,0.0,0.0401114994175404,0.0023396819849728677,0.005120910384068323,0.0
DELTA_REGION,0.0,-0.01912614980289088,0.022544516558495577,-0.004419011008212428,0.0,0.038676393039198446,0.0,0.003932325886990784,0.0,0.0,0.002510668563300096,0.020279486728774856,0.017810230756817817,0.0,0.0022749209519055103,0.03939017997553726,-0.0052435988620198725,0.0
Count_Exceeds_75,0.0,0.135476346911958,0.0,0.0,0.0,0.08011601335911407,0.0,0.0,0.002534531536029312,0.0,0.0,0.022213042714009514,0.0,0.0,0.0,0.0,-0.007261735419630105,0.0
Trend_N_greater_75,0.11992415685008873,0.0,0.0,-0.03349117595666604,0.023648648648648626,0.0,0.0,0.0,0.001802296555167272,0.0,0.0,0.015046581121462501,0.0,0.0,0.0,0.0,0.003611308677098195,-0.0024292494287220857
